Group,Subject,Rew,Block,Phase,Opt
-1,19,-1,2,1,1
-1,19,-1,3,1,1
-1,19,-1,4,1,0.33
-1,19,-1,5,1,0.67
-1,19,-1,6,1,0.8
-1,19,-1,7,1,0.33
-1,19,-1,8,1,0.83
-1,19,-1,9,1,0.33
-1,19,-1,10,1,0
-1,19,-1,11,1,0.75
-1,19,-1,0,-1,0.5
-1,19,-1,1,-1,1
-1,19,-1,2,-1,0.71
-1,19,-1,3,-1,0.6
-1,19,-1,4,-1,0.5
-1,19,-1,5,-1,0.8
-1,19,-1,6,-1,0.8
-1,19,-1,7,-1,1
-1,19,-1,8,-1,0.83
-1,19,-1,9,-1,0.8
-1,19,-1,10,-1,0.75
-1,19,-1,11,-1,1
-1,19,1,0,1,0
-1,19,1,1,1,0
-1,19,1,2,1,0
-1,19,1,3,1,0.25
-1,19,1,4,1,0.86
-1,19,1,5,1,1
-1,19,1,6,1,1
-1,19,1,7,1,1
-1,19,1,8,1,1
-1,19,1,9,1,1
-1,19,1,10,1,1
-1,19,1,11,1,1
-1,19,1,0,-1,1
-1,19,1,1,-1,1
-1,19,1,2,-1,1
-1,19,1,3,-1,0.8
-1,19,1,4,-1,1
-1,19,1,5,-1,0.8
-1,19,1,6,-1,1
-1,19,1,7,-1,1
-1,19,1,8,-1,1
-1,19,1,9,-1,1
-1,19,1,10,-1,1
-1,19,1,11,-1,1
-1,48,-1,0,1,0.75
-1,48,-1,1,1,0.67
-1,48,-1,2,1,0.75
-1,48,-1,3,1,1
-1,48,-1,4,1,1
-1,48,-1,5,1,0.57
-1,48,-1,6,1,1
-1,48,-1,7,1,1
-1,48,-1,8,1,1
-1,48,-1,9,1,1
-1,48,-1,10,1,1
-1,48,-1,11,1,1
-1,48,-1,0,-1,0.33
-1,48,-1,1,-1,1
-1,48,-1,2,-1,0.8
-1,48,-1,3,-1,1
-1,48,-1,4,-1,0.83
-1,48,-1,5,-1,0.75
-1,48,-1,6,-1,0.8
-1,48,-1,7,-1,1
-1,48,-1,8,-1,0.5
-1,48,-1,9,-1,0
-1,48,-1,10,-1,0.71
-1,48,-1,11,-1,1
-1,48,1,0,1,0.67
-1,48,1,1,1,0.5
-1,48,1,2,1,1
-1,48,1,3,1,1
-1,48,1,4,1,1
-1,48,1,5,1,1
-1,48,1,6,1,1
-1,48,1,7,1,1
-1,48,1,8,1,1
-1,48,1,9,1,1
-1,48,1,10,1,1
-1,48,1,11,1,1
-1,48,1,0,-1,0.43
-1,48,1,1,-1,0.6
-1,48,1,2,-1,0.4
-1,48,1,3,-1,0.67
-1,48,1,4,-1,0.75
-1,48,1,5,-1,0.33
-1,48,1,6,-1,0.4
-1,48,1,7,-1,0.6
-1,48,1,8,-1,0.75
-1,48,1,9,-1,0.44
-1,48,1,10,-1,0.67
-1,48,1,11,-1,0.25
-1,51,-1,0,1,0.67
-1,51,-1,1,1,0.6
-1,51,-1,2,1,0.83
-1,51,-1,3,1,0.5
-1,51,-1,4,1,1
-1,51,-1,5,1,1
-1,51,-1,6,1,1
-1,51,-1,7,1,0.75
-1,51,-1,8,1,1
-1,51,-1,9,1,1
-1,51,-1,10,1,1
-1,51,-1,11,1,1
-1,51,-1,0,-1,0.43
-1,51,-1,1,-1,0.83
-1,51,-1,2,-1,0.5
-1,51,-1,3,-1,0.8
-1,51,-1,4,-1,0.75
-1,51,-1,5,-1,1
-1,51,-1,6,-1,1
-1,51,-1,7,-1,0.86
-1,51,-1,8,-1,1
-1,51,-1,9,-1,0.8
-1,51,-1,10,-1,1
-1,51,-1,11,-1,0.8
-1,51,1,0,1,0.29
-1,51,1,1,1,1
-1,51,1,2,1,1
-1,51,1,3,1,1
-1,51,1,4,1,1
-1,51,1,5,1,1
-1,51,1,6,1,1
-1,51,1,7,1,1
-1,51,1,8,1,1
-1,51,1,9,1,1
-1,51,1,10,1,1
-1,51,1,11,1,1
-1,51,1,0,-1,0.67
